SAMPLE,SAMPLE_number,Plant,Row,Sample,Asep,Sep,FOV,Date,Initials,Notes,Month,Day,MD,Plot,Subplot,Species,Tag_number,FullExpTrt,PlantGMTrt,ExpSoilSource,ExpFungSource,Sterile,pots,ttu_colors,ttu_ids,PctH2O,Weight,Aseptate,Septate,Asep_root,Arb_root,Ves_root,Sep_root
4777-A+,4777A,Plant,88,2,69,2,100,5/28/26,C.C.,,5,28,28-May,6,2,Tri,4777-A,PlantW-SoilNW-FungW,GM-,GM+,GM-,No,1,pink,4777-A_Tri_pink,0.868333333,6.16,1.758238403,0.050963432,0,0,0,0
4777-B-,4777B,No plant,2\21,2,37,0,100,5/23/26,,,5,23,23-May,6,2,Tri,4777-B,PlantW-SoilW-FungNWsterile,GM-,GM-,GM+sterile,Yes,1,orange_blue,4777-B_Tri_orange_blue,0.899807322,7.64,0.733592189,0,0,0,0,0
4777-B+,4777B,Plant,,,37,1,,,,,,,,6,2,Tri,4777-B,PlantW-SoilW-FungNWsterile,GM-,GM-,GM+sterile,Yes,1,orange_blue,4777-B_Tri_orange_blue,0.896805897,6.58,0.854620352,0.023097847,0,0,0,0
4777-C-,4777C,No plant,76,2,26,2,100,5/26/26,C.C.,,5,26,26-May,6,2,Tri,4777-C,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,4777-C_Tri_yellow,0.689393939,6.2,0.829105991,0.063777384,0,0,0,0
4777-C+,4777C,Plant,2\7,2,52,2,100,5/29/26,C.C.,,5,29,29-May,6,2,Tri,4777-C,PlantW-SoilNW-FungNW,GM-,GM+,GM+,No,1,yellow,4777-C_Tri_yellow,0.884773663,7.8,1.027004651,0.039500179,0,0,0,0
5229-RED,5229_red,No plant,78,1,50,0,100,5/26/26,C.C.,Might be white,5,26,26-May,6,1,Tri,5229_red,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,5229_red_Tri_red,0.870841487,5.49,1.425457932,0,0,0,0,0
5229+RED,5229_red,Plant,67,1,55,0,100,5/22/26,C.C.,Might be white,5,22,22-May,6,1,Tri,5229_red,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,5229_red_Tri_red,0.881261596,5.41,1.572376106,0,0,0,0,0
5229-WHITE,5229_blue,No plant,74,2,42,0,100,5/26/26,C.C.,Might be red,5,26,26-May,5,22,Tri,5229_white,PlantNW-SoilNW-FungNW,GM+,GM+,GM+,No,1,blue,5229_white_Tri_blue,0.874087591,7,0.935604176,0,0,0,0,0
5229+WHITE,5229_blue,Plant,71,2,56,0,100,5/22/26,C.C.,Might be red,5,22,22-May,5,22,Tri,5229_white,PlantNW-SoilNW-FungNW,GM+,GM+,GM+,No,1,blue,5229_white_Tri_blue,0.845735027,5.27,1.712533004,0,0,0,0,0
flag1-,flag1,No plant,48,2,26,0,100,5/19/26,A.F.,,5,19,19-May,5,14,Tri,flag1_tri,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,flag1_tri_Tri_orange,0.884444444,6.71,0.597139947,0,0,0,0,0
flag1+,flag1,Plant,2\3,1,77,0,100,5/23/26,C.C.,,5,23,23-May,5,14,Tri,flag1_tri,PlantW-SoilW-FungNW,GM-,GM-,GM+,No,1,orange,flag1_tri_Tri_orange,0.906367041,7.16,1.617221306,0,0,0,0,0
flag2-,flag2,No plant,66,2,30,0,100,5/22/26,C.C.,,5,22,22-May,5,3,Mai,flag2,PlantW-SoilNW-FungW,GM-,GM+,GM-,No,1,pink,flag2_Mai_pink,0.896414343,7.21,0.632663892,0,0,0,0,0
flag2+,flag2,Plant,85,2,66,4,100,5/26/26,C.C.,,5,26,26-May,5,3,Mai,flag2,PlantW-SoilNW-FungW,GM-,GM+,GM-,No,1,pink,flag2_Mai_pink,0.896030246,7.15,1.404142161,0.085099525,0,0,0,0
flag3-,flag3,No plant,2\3,2,33,0,100,5/28/26,C.C.,,5,28,28-May,5,14,Tri,flag3_tri,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,flag3_tri_Tri_red,0.93003413,8.58,0.563668313,0,0,0,0,0
flag3+,flag3,Plant,,,,,,,,,,,,5,14,Tri,flag3_tri,PlantW-SoilW-FungW,GM-,GM-,GM-,No,1,red,flag3_tri_Tri_red,0.868468468,6.48,,,0,0,0,0
